year,manager_on_holidays,year,cleaning_rate,manager_on_week
0,1,0,0.3,1
1,1,1,0.3,1
2,1,2,0.9,1
3,0,3,0.3,1
4,1,4,0.5,1
5,1,5,0.9,1
6,1,6,0.9,1
7,1,7,0.9,1
8,1,8,0.9,1
9,1,9,0.6,1
10,1,10,0.3,1
11,1,11,0.9,1
12,1,12,0.9,1
13,1,13,0.9,1
14,1,14,0.9,1
15,1,15,0.9,1
16,1,16,0.9,1
17,1,17,0.9,1
18,1,18,0.9,1
19,1,19,0.9,1
20,1,20,0.9,1
21,1,21,0.9,1
22,1,22,0.9,1
23,1,23,0.9,1
24,1,24,0.9,1
25,1,25,0.9,1
26,1,26,0.9,1
27,1,27,0.9,1
28,1,28,0.9,1
29,1,29,0.9,1
30,1,30,0.9,1
31,1,31,0.9,1
32,1,32,0.9,1
33,1,33,0.9,1
34,0,34,0.5,1
35,1,35,0.9,1
36,1,36,0.9,1
37,1,37,0.9,1
38,1,38,0.9,1
39,1,39,0.9,1
40,1,40,0.9,1
41,1,41,0.9,1
42,1,42,0.9,1
43,1,43,0.9,1
44,1,44,0.9,1
45,1,45,0.9,1
46,1,46,0.9,1
47,1,47,0.9,1
48,1,48,0.9,1
49,1,49,0.9,1
50,1,50,0.9,1
51,1,51,0.9,1
52,1,52,0.9,1
53,1,53,0.9,1
54,1,54,0.9,1
55,1,55,0.9,1
56,1,56,0.9,1
57,1,57,0.7,1
58,1,58,0.9,1
59,1,59,0.9,1
60,1,60,0.9,1
61,1,61,0.9,1
62,1,62,0.9,1
63,1,63,0.9,1
64,1,64,0.9,1
65,1,65,0.9,1
66,1,66,0.9,1
67,1,67,0.9,1
68,1,68,0.9,1
69,1,69,0.9,1
70,1,70,0.9,1
71,1,71,0.9,1
72,1,72,0.9,1
73,1,73,0.9,1
74,1,74,0.9,1
75,1,75,0.9,1
76,1,76,0.9,1
77,1,77,0.9,1
78,1,78,0.9,1
79,1,79,0.9,1
80,1,80,0.9,1
81,1,81,0.9,1
82,1,82,0.9,1
83,1,83,0.9,1
84,1,84,0.9,1
85,1,85,0.9,1
86,1,86,0.9,1
87,1,87,0.9,1
88,1,88,0.9,1
89,1,89,0.9,1
90,1,90,0.9,1
91,1,91,0.9,1
92,1,92,0.9,1
93,1,93,0.9,1
94,1,94,0.9,1
95,1,95,0.9,1
96,1,96,0.9,1
97,1,97,0.9,1
98,1,98,0.9,1
99,1,99,0.9,1
100,1,100,0.9,1
101,1,101,0.9,1
102,1,102,0.9,1
103,1,103,0.9,1
104,1,104,0.9,1
105,1,105,0.9,1
106,1,106,0.9,1
107,1,107,0.9,1
108,1,108,0.9,1
109,1,109,0.9,1
110,1,110,0.9,1
111,1,111,0.9,1
112,1,112,0.9,1
113,1,113,0.9,1
114,1,114,0.9,1
115,1,115,0.9,1
116,1,116,0.9,1
117,1,117,0.9,1
118,1,118,0.9,1
119,1,119,0.9,1
120,1,120,0.9,1
121,1,121,0.9,1
122,1,122,0.9,1
123,1,123,0.9,1
124,1,124,0.9,1
125,1,125,0.9,1
126,1,126,0.9,1
127,1,127,0.9,1
128,1,128,0.9,1
129,1,129,0.9,1
130,1,130,0.9,1
131,1,131,0.9,1
132,1,132,0.9,1
133,0,133,0.5,1
134,1,134,0.9,1
135,1,135,0.9,1
136,1,136,0.9,1
137,1,137,0.9,1
138,1,138,0.9,1
139,1,139,0.9,1
140,1,140,0.9,1
141,1,141,0.9,1
142,1,142,0.9,1
143,1,143,0.9,1
144,1,144,0.9,1
145,1,145,0.9,1
146,1,146,0.9,1
147,1,147,0.9,1
148,0,148,0.5,1
149,1,149,0.9,1
150,1,150,0.9,1
151,1,151,0.9,1
152,1,152,0.9,1
153,1,153,0.9,1
154,1,154,0.9,1
155,1,155,0.9,1
156,1,156,0.9,1
157,1,157,0.9,1
158,1,158,0.9,1
159,1,159,0.9,1
160,1,160,0.9,1
161,1,161,0.9,1
162,1,162,0.9,1
163,0,163,0.5,1
164,1,164,0.9,1
165,1,165,0.9,1
166,1,166,0.9,1
167,1,167,0.9,1
168,1,168,0.9,1
169,1,169,0.9,1
170,1,170,0.9,1
171,1,171,0.9,1
172,1,172,0.9,1
173,1,173,0.9,1
174,1,174,0.9,1
175,1,175,0.9,1
176,1,176,0.9,1
177,1,177,0.9,1
178,0,178,0.5,1
179,1,179,0.9,1
180,1,180,0.9,1
181,1,181,0.9,1
182,1,182,0.9,1
183,1,183,0.9,1
184,1,184,0.9,1
185,1,185,0.9,1
186,1,186,0.9,1
187,1,187,0.9,1
188,1,188,0.9,1
189,1,189,0.9,1
190,1,190,0.9,1
191,1,191,0.9,1
192,1,192,0.9,1
193,1,193,0.9,1
194,1,194,0.9,1
195,1,195,0.9,1
196,1,196,0.9,1
197,1,197,0.9,1
198,1,198,0.9,1
199,1,199,0.9,1
200,1,200,0.9,1