time,stock
0,1.90E+06
1,2.80E+06
2,3.70E+06
3,3.66E+06
4,2.94E+07
5,5.50E+07
6,7.22E+07
7,7.31E+07
8,7.40E+07
9,6.59E+07
10,9.16E+07
11,1.01E+08
12,1.40E+08
13,1.66E+08
14,1.75E+08
15,1.84E+08
16,1.85E+08
17,1.86E+08
18,1.87E+08
19,1.88E+08
20,1.88E+08
21,1.77E+08
22,1.78E+08
23,1.78E+08
24,1.79E+08
25,1.80E+08
26,1.81E+08
27,1.71E+08
28,1.80E+08
29,1.90E+08
30,2.00E+08
31,2.01E+08
32,2.02E+08
33,1.94E+08
34,1.94E+08
35,1.95E+08
36,1.96E+08
37,1.97E+08
38,1.98E+08
39,1.98E+08
40,1.99E+08
41,2.00E+08
42,1.90E+08
43,1.91E+08
44,2.01E+08
45,1.89E+08
46,1.90E+08
47,1.91E+08
48,1.92E+08
49,1.93E+08
50,1.94E+08
51,1.94E+08
52,1.94E+08
53,1.95E+08
54,1.96E+08
55,1.97E+08
56,1.98E+08
57,1.80E+08
58,1.81E+08
59,1.90E+08
60,1.91E+08
61,1.92E+08
62,1.93E+08
63,1.93E+08
64,1.94E+08
65,1.95E+08
66,1.96E+08
67,1.96E+08
68,1.97E+08
69,1.86E+08
70,1.86E+08
71,1.87E+08
72,1.78E+08
73,1.79E+08
74,1.80E+08
75,1.80E+08
76,1.81E+08
77,1.81E+08
78,1.82E+08
79,1.83E+08
80,1.84E+08
81,1.76E+08
82,1.77E+08
83,1.78E+08
84,1.79E+08
85,1.80E+08
86,1.81E+08
87,1.70E+08
88,1.71E+08
89,1.72E+08
90,1.73E+08
91,1.74E+08
92,1.75E+08
93,1.63E+08
94,1.64E+08
95,1.65E+08
96,1.66E+08
97,1.67E+08
98,1.67E+08
99,1.67E+08
100,1.68E+08
101,1.69E+08
102,1.60E+08
103,1.61E+08
104,1.62E+08
105,1.53E+08
106,1.54E+08
107,1.55E+08
108,1.56E+08
109,1.57E+08
110,1.58E+08
111,1.58E+08
112,1.59E+08
113,1.60E+08
114,1.61E+08
115,1.62E+08
116,1.62E+08
117,1.40E+08
118,1.41E+08
119,1.42E+08
120,1.43E+08
121,1.44E+08
122,1.45E+08
123,1.45E+08
124,1.46E+08
125,1.47E+08
126,1.47E+08
127,1.48E+08
128,1.49E+08
129,1.41E+08
130,1.42E+08
131,1.43E+08
132,1.34E+08
133,1.34E+08
134,1.35E+08
135,1.35E+08
136,1.36E+08
137,1.37E+08
138,1.38E+08
139,1.39E+08
140,1.40E+08
141,1.28E+08
142,1.29E+08
143,1.30E+08
144,1.31E+08
145,1.32E+08
146,1.32E+08
147,1.22E+08
148,1.23E+08
149,1.24E+08
150,1.25E+08
151,1.26E+08
152,1.27E+08
153,1.19E+08
154,1.19E+08
155,1.20E+08
156,1.21E+08
157,1.22E+08
158,1.23E+08
159,1.23E+08
160,1.24E+08
161,1.25E+08
162,1.15E+08
163,1.16E+08
164,1.17E+08
165,1.05E+08
166,1.06E+08
167,1.07E+08
168,1.08E+08
169,1.09E+08
170,1.10E+08
171,1.10E+08
172,1.11E+08
173,1.12E+08
174,1.12E+08
175,1.13E+08
176,1.14E+08
177,9.59E+07
178,9.68E+07
179,9.77E+07
180,9.86E+07
181,9.95E+07
182,1.00E+08
183,1.00E+08
184,1.01E+08
185,1.02E+08
186,1.03E+08
187,1.04E+08
188,1.05E+08
189,9.30E+07
190,9.39E+07
191,9.48E+07
192,8.54E+07
193,8.63E+07
194,8.72E+07
195,8.71E+07
196,8.80E+07
197,8.89E+07
198,8.98E+07
199,9.07E+07
200,9.16E+07